Timestamp	Open	High	Low	Close	Volume (BTC)	Volume (Currency)	Weighted Price
2016-11-01 00:00:00	715	720.2	715	717	0.02	13.83	718.46
2016-11-02 00:00:00	717	717.5	712	716.5	0.09	62.76	715.56
2016-11-03 00:00:00	715	736	688.58	695.681	0.45	326.93	720.1
2016-11-04 00:00:00	695.681	700	686.3	687	0.11	78.11	693.62
2016-11-05 00:00:00	687	695	687	695	0.01	8.91	688.25
2016-11-06 00:00:00	689.99	697	689.99	697	0.01	7.98	694.46
2016-11-07 00:00:00	694	722.5	670.89	693.5	0.59	408.18	694.96
2016-11-08 00:00:00	694.7	706.779	691.25	699.7	0.65	455.94	697.28
2016-11-09 00:00:00	704	739.9	675	685	0.82	588.17	719.32
2016-11-10 00:00:00	701.311	718.26	701.311	715.69	3.53	2506.04	709.69
2016-11-11 00:00:00	705.86	715.86	705	708.729	8.21	5827.7	710.25
2016-11-12 00:00:00	705	714.86	704.56	705.86	0.88	616.82	704.89
2016-11-13 00:00:00	704.56	704.56	691	701.99	1.05	734.29	700.21
2016-11-14 00:00:00	700	703.99	693.23	695.23	0.44	305.22	696.42
2016-11-15 00:00:00	698.23	715.86	698.23	705.89	0.36	250.92	705.22
2016-11-16 00:00:00	703.814	728.69	703.814	725	2.56	1840.91	718.83
2016-11-17 00:00:00	727.69	734	718	728.69	26.82	19562.14	729.48
2016-11-18 00:00:00	727.356	741	727.356	738.493	7.07	5213.31	736.99
2016-11-19 00:00:00	738	738	738	738	0	3	738
2016-11-20 00:00:00	738	738	717.95	727	1.2	876.83	727.92
2016-11-21 00:00:00	727	739	727	737.63	6.43	4718.13	733.68
2016-11-22 00:00:00	737.5	744.999	736.2	736.25	2.16	1604	741.12
2016-11-23 00:00:00	737	745.248	735.25	745.248	2.96	2183.6	738.1
2016-11-24 00:00:00	741	743.23	735	737.36	1.42	1051.33	739.91
2016-11-25 00:00:00	735.9	739.59	733.5	736.63	2.27	1670.25	736.49
2016-11-26 00:00:00	733.345	735.37	730.497	735.37	0.04	29.29	732.02
2016-11-27 00:00:00	735.99	736.92	729.9	731	0.86	626.58	732.61
2016-11-28 00:00:00	733	733.99	727	733.99	2.27	1656.85	731.41
2016-11-29 00:00:00	733.99	735.3	728.26	730	1.99	1460.43	732.38
2016-11-30 00:00:00	734.9	737.99	731	736.31	4.09	3011.02	735.4
