Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-02-23,9843.33,10405.3,9600.0,10136.23,15769.13637862,157988857.58836,10018.865573549
2018-02-22,10446.79,10935.0,9731.2,9843.34,20204.69095384,206051152.36005,10198.183819332
2018-02-21,11233.42,11275.74,10256.0,10449.4,19959.67715652,215353691.93532,10789.437637019
2018-02-20,11159.12,11780.0,11080.37,11233.41,15880.9090398,182156478.01967,11470.154357232
2018-02-19,10433.68,11262.48,10307.51,11173.0,11698.25622611,127802568.07185,10924.92467267
2018-02-18,11101.0,11300.0,10153.15,10421.06,17623.07943135,188724919.34455,10708.963781257
